x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.29384643,0.89957243,-2.2536553e-07,0.40080336,0.88278514,-0.01891795,0.48668003,0.776484,-0.021038197,0.52203846,0.6775845,-0.026563616,0.5391521,0.6037541,-0.031329345,0.4645461,0.66201895,-0.0010016117,0.48015755,0.5872632,-0.031153243,0.47372422,0.64796615,-0.05418939,0.46592948,0.70674676,-0.067409724,0.40464252,0.65208745,-0.0076965885,0.41562706,0.5868904,-0.043162327,0.41724175,0.6681916,-0.06293879,0.41138348,0.7351969,-0.071923696,0.34324628,0.65719783,-0.019658793,0.35570288,0.60356355,-0.05945972,0.36310095,0.6857123,-0.0659186,0.3608362,0.7476708,-0.063162714,0.2800941,0.6724235,-0.03289153,0.3014214,0.6286381,-0.063808724,0.30995345,0.68637717,-0.06406536,0.31003612,0.7371597,-0.059057306,A
0.30095235,0.8298378,-1.7920578e-07,0.40265226,0.8090728,-0.013179143,0.48091015,0.71280813,-0.011525978,0.50917876,0.60663617,-0.012893411,0.51788986,0.5346015,-0.011799135,0.44837508,0.610088,0.004523338,0.4530759,0.51749516,-0.02418405,0.44664794,0.58792436,-0.042420115,0.43927613,0.650344,-0.05084168,0.39212033,0.60552067,-0.0024044146,0.39680296,0.5208755,-0.037833937,0.39735302,0.6083493,-0.053982463,0.38894564,0.66951764,-0.05852499,0.3364081,0.61095476,-0.014063463,0.34259802,0.53506637,-0.05047581,0.34964377,0.61885333,-0.051607456,0.34624714,0.6769259,-0.04441504,0.27852613,0.62204635,-0.026787248,0.28987548,0.56751853,-0.051277593,0.29745743,0.6225815,-0.048753988,0.2961626,0.6681242,-0.041803334,A
0.30158347,0.7268325,-2.64633e-07,0.39254418,0.7087233,-0.017226746,0.4684494,0.61403084,-0.020698596,0.48983487,0.50852007,-0.024486907,0.4868776,0.4379676,-0.022846771,0.4310555,0.5034528,-0.013033296,0.4410265,0.42305624,-0.045229472,0.4291299,0.5151921,-0.05790163,0.41993362,0.55416864,-0.06269541,0.37753266,0.4976201,-0.019627083,0.38813347,0.4273663,-0.05260712,0.382625,0.5369738,-0.05732656,0.37550932,0.56381583,-0.05671412,0.3222422,0.5025314,-0.030707376,0.33296764,0.43882403,-0.0689335,0.3337759,0.5456025,-0.055703126,0.3281621,0.57548416,-0.040420353,0.2626881,0.5105222,-0.042703617,0.2797801,0.46826392,-0.06854524,0.2846083,0.5374793,-0.056774776,0.27626938,0.56303614,-0.04415288,A
0.28723305,0.70084596,-4.5393372e-07,0.38616163,0.6884185,-0.017853651,0.46383944,0.59172773,-0.021947866,0.48587316,0.48138392,-0.02588663,0.49269903,0.40871608,-0.023590202,0.42741787,0.47075415,-0.017088242,0.44815758,0.3960177,-0.04789379,0.4291148,0.49722224,-0.059983715,0.41602543,0.52530533,-0.065639384,0.37172112,0.46312553,-0.022711456,0.3919757,0.3987334,-0.05364595,0.3802379,0.5182801,-0.05783401,0.36969697,0.5342846,-0.058442563,0.31668288,0.46775576,-0.032274034,0.33794284,0.4114983,-0.06935644,0.33312425,0.52373254,-0.05488653,0.32375997,0.54220206,-0.04018587,0.25876266,0.47363365,-0.042578515,0.2855202,0.43701375,-0.06858912,0.2868921,0.511814,-0.055378675,0.27332485,0.531835,-0.042425495,A
0.282349,0.6817516,-4.32964e-07,0.3870136,0.6737094,-0.019258773,0.46678585,0.580634,-0.02198123,0.49082756,0.46520096,-0.023543114,0.5006215,0.39345932,-0.01782127,0.42628917,0.45835298,-0.018386813,0.44450536,0.3785673,-0.048250858,0.42583716,0.47827595,-0.054445658,0.41240713,0.51188695,-0.055092726,0.3700407,0.44914714,-0.02321328,0.388906,0.3784654,-0.05659587,0.37561333,0.49862942,-0.058596283,0.3649076,0.5177478,-0.05606433,0.31493348,0.45188126,-0.032053985,0.33399552,0.39109057,-0.07293505,0.3268672,0.50609857,-0.05701327,0.31695208,0.5270855,-0.039613675,0.25428432,0.45576116,-0.041521784,0.27886316,0.41685724,-0.07058535,0.2788856,0.49349022,-0.05761086,0.2659015,0.5132727,-0.043610923,A
0.28177145,0.6675719,-4.899307e-07,0.3835377,0.6583842,-0.021011366,0.46292108,0.5599863,-0.02424194,0.48528934,0.44621673,-0.025440712,0.49910173,0.37379086,-0.018970137,0.42512494,0.43550554,-0.024844693,0.44029933,0.35297275,-0.052590724,0.42122203,0.4560883,-0.05396021,0.40773606,0.4906659,-0.05103416,0.36891413,0.4259446,-0.027854934,0.38483325,0.3528551,-0.059753,0.37251064,0.47580162,-0.058153752,0.3625238,0.49575374,-0.053061638,0.31224748,0.42881152,-0.034505498,0.33023587,0.370251,-0.07480347,0.32354474,0.48809424,-0.057374537,0.3153407,0.5081957,-0.03891948,0.251019,0.4341948,-0.0415685,0.27570653,0.39552897,-0.06941506,0.27619958,0.4746574,-0.055453576,0.26439577,0.49361232,-0.041024026,A
0.28381175,0.67074966,-5.0567144e-07,0.38411203,0.65611875,-0.02059356,0.46082142,0.55468017,-0.022721699,0.48310515,0.44166023,-0.02371482,0.4989645,0.37087774,-0.017489031,0.4210284,0.4313728,-0.018627502,0.43732572,0.34921658,-0.04810559,0.4211489,0.4504096,-0.051273692,0.40692636,0.4900849,-0.048276104,0.36470607,0.4220349,-0.021653654,0.38132104,0.34975347,-0.056238875,0.37066278,0.47205067,-0.056594223,0.35891762,0.497299,-0.05076933,0.3089854,0.4242941,-0.028831273,0.32719278,0.36155576,-0.0723735,0.32185325,0.48106053,-0.056212198,0.31259376,0.5080687,-0.036307506,0.24776268,0.43054426,-0.036427274,0.27328074,0.38469058,-0.06713224,0.2757018,0.4675846,-0.05370917,0.26380676,0.49535787,-0.037707306,A
0.28158426,0.6780417,-4.8944236e-07,0.38587728,0.658342,-0.018271217,0.4602838,0.5543861,-0.020201212,0.4801448,0.43724933,-0.021487087,0.49637303,0.36533174,-0.015690187,0.41944322,0.4382813,-0.017313119,0.4343727,0.355341,-0.046706557,0.41903028,0.4569168,-0.051081255,0.40664205,0.4933267,-0.04957542,0.3620607,0.42847466,-0.021761905,0.37785876,0.35466728,-0.055392325,0.3685078,0.4776424,-0.056185476,0.35798186,0.5012797,-0.05170452,0.30601525,0.43081236,-0.030000525,0.3234907,0.3645696,-0.07217352,0.31898928,0.48470503,-0.054916028,0.31001824,0.5113703,-0.035101615,0.2446196,0.43653873,-0.038585052,0.269417,0.3877151,-0.068264864,0.27170795,0.47052377,-0.053599898,0.25935826,0.49876928,-0.037233412,A
0.2774989,0.6808329,-4.9947084e-07,0.38185963,0.66097414,-0.020352455,0.4592444,0.55982465,-0.023501506,0.48161295,0.4437015,-0.025463201,0.49859837,0.3707916,-0.02007088,0.41844764,0.43921793,-0.01941855,0.43253204,0.3582728,-0.047382247,0.41640648,0.45969602,-0.04965407,0.40464976,0.49434197,-0.04718794,0.36066282,0.42975432,-0.023403825,0.37647772,0.35823166,-0.05689151,0.36584112,0.48141107,-0.057528332,0.3552799,0.5024393,-0.053150702,0.30393714,0.43397263,-0.031100646,0.32119977,0.37144113,-0.07403576,0.31532022,0.49179095,-0.057360332,0.30638328,0.51424044,-0.0381048,0.24153578,0.44176564,-0.039084826,0.26624268,0.39538044,-0.06901512,0.26828152,0.4779549,-0.054493174,0.25676417,0.5023684,-0.038536463,A
0.27650613,0.6816921,-5.371074e-07,0.3821527,0.6690965,-0.019372812,0.4591266,0.5679178,-0.022391327,0.47991613,0.44888225,-0.024123337,0.49522278,0.37837875,-0.018356793,0.42082563,0.4471464,-0.022986813,0.43584847,0.35977167,-0.051133364,0.41806138,0.46348563,-0.05140466,0.40636978,0.50018686,-0.047636285,0.36224937,0.4367176,-0.027341932,0.378451,0.36133003,-0.06066535,0.36648187,0.48600814,-0.058655947,0.35811374,0.50544,-0.052996304,0.3043136,0.44038317,-0.035216752,0.32218274,0.37633914,-0.078790136,0.314949,0.49770153,-0.05999252,0.30759156,0.51873684,-0.039647035,0.2415619,0.44749394,-0.043159254,0.26614642,0.3987582,-0.0739173,0.26693913,0.48281145,-0.05874084,0.25570196,0.50657946,-0.04260415,A
